srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS022129,0.5129042549763093,0.6630827718553,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS022645,0.28528055456640383,0.4894473100414869,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS016434,0.5148952079557059,0.6257332401262264,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS015450,0.38691569653206825,0.4425068561551001,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS019087,0.49121839517092,0.5396393297013516,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS024424,0.5083960706088629,0.6049323415391004,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS047225,0.5451240362639361,0.6643044753794816,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS018585,0.5370958229461278,0.6393986686442097,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS017044,0.49348854083619115,0.63179169641659,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS016553,0.48163191950819195,0.6007233112250082,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS024301,0.49897284336159325,0.5401469338678139,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS020386,0.5304143282697411,0.6636294499790867,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS022006,0.5285623772242356,0.6667503682447194,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS065179,0.4275282208329773,0.514163083544777,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS051600,0.46511277027136705,0.6030721340194318,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS018463,0.5334753062074103,0.6807876809392889,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS044474,0.5548923852335398,0.6750964528672307,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS024064,0.5104191339191333,0.6318286443885135,5392,3306,2734,648,0.44006622516556293,Anterior_nares
SRS024347,0.4907352562963919,0.7170840527552879,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS015921,0.4888620567070704,0.702544714587852,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS013711,0.5574330563035604,0.7132261417453751,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS017537,0.44966976864232994,0.6942333538308436,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS024470,0.49930299027257036,0.6874452119544852,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS017127,0.42261171445927964,0.6621551731403357,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS022625,0.45693101325875085,0.704739000367983,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS016600,0.45497133794458794,0.7056532234270878,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS018149,0.5009189602840801,0.7307108928832058,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS064809,0.5086387740120938,0.7093001006004999,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS017080,0.5601267526758954,0.7133947917598212,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS017215,0.46752272909655634,0.727964674677023,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS013825,0.47752049367067223,0.6794043523592557,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS013506,0.4355933435255086,0.7016170042994042,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS018329,0.40456055256703344,0.6797441695659214,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS063287,0.47985983205774857,0.7246589749273651,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS016533,0.4832729256801882,0.6532192743222336,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS016349,0.4986204413455053,0.6378816794033383,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS023987,0.4417810326864576,0.6773245156402682,4710,3569,2031,890,0.4783928571428571,Buccal_mucosa
SRS011584,0.2595619332728142,0.39347655325959735,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS017497,0.50727554493957,0.6285065696348304,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS014629,0.5273762459712095,0.6031154706532296,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS044742,0.4758991846854623,0.6118090995303714,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS065347,0.4750314992319272,0.6082629107628296,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS016111,0.35917915786613624,0.4860651794134112,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS018769,0.48499277425758186,0.5428584149826151,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS063417,0.5146136679453078,0.568864065224418,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS016559,0.48438136782349894,0.5931440519499,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS015425,0.47813605459228,0.562201867577513,4154,1730,2748,324,0.31397945511389014,Posterior_fornix
SRS024482,0.49334625183218894,0.7068795510317597,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS024655,0.49140664266079576,0.6807752092897751,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS058182,0.5058342409790552,0.6937474021617106,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS017851,0.4863638052768384,0.6935488988038169,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS017849,0.48350660480493785,0.6997442083005853,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS020261,0.4851093100112147,0.6885674533424706,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS020263,0.5132118401387512,0.696278138058311,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS019081,0.47205247336429884,0.590149469247222,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS013258,0.486980753306064,0.6627286692408737,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS024596,0.4922916006604062,0.6788605473531194,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS016944,0.5173403449660643,0.6787626390350077,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS024598,0.4782606595051794,0.6773279255499586,4894,3603,2169,878,0.4721067221067221,Retroauricular_crease
SRS011529,0.5636775044841518,0.7172630026037918,4257,3872,1545,1160,0.500646114085287,Stool
SRS014923,0.47100427759464825,0.6875165944691642,4257,3872,1545,1160,0.500646114085287,Stool
SRS043411,0.5438182119543271,0.6973977595020683,4257,3872,1545,1160,0.500646114085287,Stool
SRS017307,0.5378783879528907,0.7018100118911564,4257,3872,1545,1160,0.500646114085287,Stool
SRS053335,0.5420945876503398,0.7083113696894093,4257,3872,1545,1160,0.500646114085287,Stool
