srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.4830152227173843,0.6280936078742969,917,139,792,14,0.13426423200859292,Anterior_nares
SRS020386,0.4390177097490173,0.56184905300319,917,139,792,14,0.13426423200859292,Anterior_nares
SRS022006,0.35201613362244216,0.37765016307676896,917,139,792,14,0.13426423200859292,Anterior_nares
SRS022129,0.48519078026403195,0.6271602950040422,917,139,792,14,0.13426423200859292,Anterior_nares
SRS024424,0.4326740126683375,0.6220199142406103,917,139,792,14,0.13426423200859292,Anterior_nares
SRS044474,0.4427850385739789,0.4875275583556253,917,139,792,14,0.13426423200859292,Anterior_nares
SRS047225,0.41204838771020896,0.5439085595607154,917,139,792,14,0.13426423200859292,Anterior_nares
SRS013506,0.4190801611604419,0.6265023176278863,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS013711,0.5719202590561492,0.7931420387752678,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS013825,0.41103709188713394,0.6731309362294287,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS015921,0.6167228662064708,0.7829698729330657,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS016349,0.4386274193132445,0.5874211230532548,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS016533,0.4936117270818498,0.6088298948261001,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS016600,0.4876729420897499,0.6714159962148567,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS017080,0.5288108072075693,0.7139898638298594,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS017127,0.45459832363190605,0.5756643756812037,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS017215,0.47699667890540437,0.6602221607260449,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS017537,0.40295426017834696,0.6619103846716168,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS018149,0.522308571403955,0.6754824220379515,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS018329,0.4318370435268587,0.5768772296585432,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS022625,0.5671059011738354,0.7898177596498457,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS023987,0.48565322374941583,0.6532229123219451,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS024347,0.49313736322856977,0.7397951217064189,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS024470,0.541804815192126,0.6958926022031032,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS063287,0.4831330115380526,0.6790609145960705,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS064809,0.5153205442340267,0.6906582699079188,648,154,498,4,0.23006134969325154,Buccal_mucosa
SRS014629,0.4304932954695454,0.31123751030717606,370,34,340,4,0.08021390374331551,Posterior_fornix
SRS015425,0.40536852305498083,0.43241843064039115,370,34,340,4,0.08021390374331551,Posterior_fornix
SRS016111,0.6369826981717319,0.7045928223305763,370,34,340,4,0.08021390374331551,Posterior_fornix
SRS016559,-0.08178221207690017,-0.08260608269705907,370,34,340,4,0.08021390374331551,Posterior_fornix
SRS017497,0.8379379166429198,0.8685535050731265,370,34,340,4,0.08021390374331551,Posterior_fornix
SRS018769,0.3709570293482398,0.37676287163558425,370,34,340,4,0.08021390374331551,Posterior_fornix
