srs,pearson,spearman,num_features_shotgun,num_features_16s,difference_shotgun,difference_16s,jaccard,bodytype
SRS017044,0.5131685693422947,0.5590329621128417,140,64,79,3,0.42657342657342656,Anterior_nares
SRS020386,0.33116076520524423,0.5115731588971697,140,64,79,3,0.42657342657342656,Anterior_nares
SRS022006,0.43838880760063714,0.4627310052038008,140,64,79,3,0.42657342657342656,Anterior_nares
SRS022129,0.5625397752182063,0.7376731416749722,140,64,79,3,0.42657342657342656,Anterior_nares
SRS024424,0.6322943640954848,0.759605541752835,140,64,79,3,0.42657342657342656,Anterior_nares
SRS044474,0.5551461596247449,0.5838537492587463,140,64,79,3,0.42657342657342656,Anterior_nares
SRS047225,0.49709131480449686,0.6740496411213989,140,64,79,3,0.42657342657342656,Anterior_nares
SRS013506,0.6131811641167452,0.8311173997271083,110,44,66,0,0.4,Buccal_mucosa
SRS013711,0.7579357347105455,0.932901770613126,110,44,66,0,0.4,Buccal_mucosa
SRS013825,0.7197706628589979,0.8951915732145109,110,44,66,0,0.4,Buccal_mucosa
SRS015921,0.6666125470363088,0.8790480311798499,110,44,66,0,0.4,Buccal_mucosa
SRS016349,0.5789761754499844,0.6546711657263848,110,44,66,0,0.4,Buccal_mucosa
SRS016533,0.6695654783975006,0.8725956614035666,110,44,66,0,0.4,Buccal_mucosa
SRS016600,0.702261974129649,0.8355170508598082,110,44,66,0,0.4,Buccal_mucosa
SRS017080,0.7621686762948636,0.911948867997385,110,44,66,0,0.4,Buccal_mucosa
SRS017127,0.6952428326704664,0.8083394176792944,110,44,66,0,0.4,Buccal_mucosa
SRS017215,0.7196886390879679,0.8500795235846026,110,44,66,0,0.4,Buccal_mucosa
SRS017537,0.743873120320673,0.9006086748886988,110,44,66,0,0.4,Buccal_mucosa
SRS018149,0.7289546673854579,0.8622452194350371,110,44,66,0,0.4,Buccal_mucosa
SRS018329,0.6253755412579886,0.7559980869474321,110,44,66,0,0.4,Buccal_mucosa
SRS022625,0.7695522753862802,0.9352313643232507,110,44,66,0,0.4,Buccal_mucosa
SRS023987,0.7005233730586516,0.8840379534347707,110,44,66,0,0.4,Buccal_mucosa
SRS024347,0.7939180906226783,0.9414729462632679,110,44,66,0,0.4,Buccal_mucosa
SRS024470,0.7498513485664915,0.9396327673765061,110,44,66,0,0.4,Buccal_mucosa
SRS063287,0.6915422617641938,0.8327706490446635,110,44,66,0,0.4,Buccal_mucosa
SRS064809,0.7253344860286429,0.8608241871076731,110,44,66,0,0.4,Buccal_mucosa
SRS014629,0.5975339550444864,0.5586730975416234,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS015425,0.7581958482042073,0.7384435335601567,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS016111,0.6051963620748694,0.6018566060309338,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS016559,0.6553935169817892,0.5606482349349806,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS017497,0.7672568786722432,0.8496659603922811,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS018769,0.4460525808422003,0.40658878383611846,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS065347,0.6963234126704354,0.7070946882531074,75,22,53,0,0.29333333333333333,Posterior_fornix
SRS013258,0.5638011830792483,0.5655595780324558,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS016944,0.4973923571508783,0.6635652854104395,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS017849,0.6496498046044982,0.6964420784345724,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS017851,0.6939969173728253,0.7961195633949688,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS019081,0.5709832326370363,0.6008893790666273,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS020261,0.5427148280939734,0.5831240660123614,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS020263,0.6575967699025611,0.7064294187114536,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS024482,0.7507079515582282,0.8628044081537993,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS024596,0.6296276741509758,0.5722281829899595,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS024598,0.47875140127208976,0.3193475348983032,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS024655,0.5694468049243641,0.6225928782118969,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS058182,0.5966398460782902,0.5923174934009969,94,41,53,0,0.43617021276595747,Retroauricular_crease
SRS011271,0.5922303438511424,0.7942298335740635,60,38,24,2,0.5806451612903226,Stool
SRS011405,0.4783214985978936,0.639279904830757,60,38,24,2,0.5806451612903226,Stool
SRS011452,0.4583210507652324,0.5437763849394899,60,38,24,2,0.5806451612903226,Stool
SRS011529,0.756977436075284,0.8511401103967327,60,38,24,2,0.5806451612903226,Stool
SRS011586,0.8052150817988953,0.8899695268662783,60,38,24,2,0.5806451612903226,Stool
SRS013687,0.6953563239529422,0.8372919443484098,60,38,24,2,0.5806451612903226,Stool
SRS014235,0.7822733239246236,0.9157648186808307,60,38,24,2,0.5806451612903226,Stool
SRS014287,0.6473847167901167,0.8056438966232032,60,38,24,2,0.5806451612903226,Stool
SRS014613,0.4977099505268555,0.6106193975598962,60,38,24,2,0.5806451612903226,Stool
SRS014923,0.7390320713015113,0.837356964252454,60,38,24,2,0.5806451612903226,Stool
SRS015133,0.7211240586689965,0.8324352217491462,60,38,24,2,0.5806451612903226,Stool
SRS015190,0.6191840425086227,0.6497654541294323,60,38,24,2,0.5806451612903226,Stool
SRS015578,0.708850660761016,0.8017913013060932,60,38,24,2,0.5806451612903226,Stool
SRS015663,0.8327015837596128,0.9185978261341229,60,38,24,2,0.5806451612903226,Stool
